C constant;MCDSn 1;MCDSn2 1;MCDSn4 1;MCDSn10 1;MCDSn20 1;MCDSn100 1
0.0001;0.27975563526153563;0.2547969079017639;0.2572326183319092;0.2573226261138916;0.30728271245956423;0.7220417809486389
0.001;0.2706677794456482;0.26770294189453125;0.25644545078277586;0.2684114670753479;0.30695018529891965;0.7226865267753602
0.01;0.26270182609558107;0.26447266578674317;0.24911009788513183;0.2599282741546631;0.3128087854385376;0.7271181678771973
0.03;0.27668310642242433;0.2651881909370422;0.24736486673355101;0.2621051454544067;0.31222617149353027;0.7255906772613525
0.07;0.2690862560272217;0.25936362266540525;0.25132228136062623;0.26957688331604;0.31445887565612796;0.7253808903694153
0.09;0.276417236328125;0.27732281684875487;0.24078357458114624;0.2754184365272522;0.31717734813690185;0.7293676257133483
0.1;0.2797887349128723;0.26668614864349366;0.2653036117553711;0.27400133609771726;0.32365325450897214;0.7245457553863526
0.2;0.27115027904510497;0.26900105476379393;0.26160626649856566;0.29571277856826783;0.34751616954803466;0.8027630376815796
0.3;0.2934538459777832;0.3070557117462158;0.3073137640953064;0.36779280662536623;0.4285099959373474;0.9430761861801148
0.4;0.34551602840423584;0.3594274735450745;0.37928266763687135;0.44387055158615113;0.520274486541748;1.124437346458435
0.5;0.4053000855445862;0.4155261564254761;0.43367231369018555;0.49079370498657227;0.562168493270874;1.191600914001465
0.6;0.47940425395965575;0.4717528510093689;0.4866751098632813;0.5381661891937256;0.6364244318008423;1.270532865524292
0.7;0.48040831327438355;0.4956459641456604;0.5238134217262268;0.5953260517120361;0.7027256226539612;1.4450108003616333
0.8;0.500693256855011;0.5393281745910644;0.5718115329742431;0.6389370107650757;0.7584472894668579;1.582992796897888
0.9;0.5368988752365113;0.5578651404380799;0.5942101049423217;0.6652245163917542;0.7883278679847717;1.6224713706970215
1;0.554358344078064;0.5638983798027039;0.6028675866127015;0.6778142547607422;0.8097602319717407;1.6516930317878724
1.1;0.5615455770492553;0.5866425824165344;0.6156157970428466;0.6921158576011658;0.8222961449623107;1.6769778728485107
1.2;0.5893147039413452;0.6029356837272644;0.6253186178207397;0.7006590962409973;0.8369887518882752;1.7052153539657593
1.4;0.6079661655426025;0.6144422292709351;0.6436498379707336;0.728411409854889;0.8515469455718994;1.7284408116340637
1.5;0.6027334690093994;0.6229692244529724;0.6480122184753419;0.7379873514175415;0.8619905304908753;1.7556576347351074
1.6;0.6121808195114136;0.6299224853515625;0.6546161580085754;0.7437064743041992;0.8651182770729064;1.7532163166999817
1.7;0.613223421573639;0.6312586164474487;0.6593107128143311;0.7451873898506165;0.8689359068870545;1.7554391431808472
1.8;0.6277350115776063;0.6424935698509217;0.6618366861343383;0.7524879813194275;0.8750867128372193;1.7675216746330262
1.9;0.6284163451194763;0.6440401268005371;0.663277907371521;0.7607834362983703;0.878546941280365;1.7766845154762267
2;0.6291972613334655;0.6436680436134339;0.6720931625366211;0.7646994161605835;0.8841942882537842;1.7834949254989625
4;0.6834780859947205;0.6998789978027343;0.7296718764305115;0.8292932987213135;0.9487770128250123;1.8956702637672425
8;0.7422809481620789;0.7525509142875672;0.8059651708602905;0.8813365483283997;1.0342769265174865;1.9655741667747497
1024;0.8167124843597412;0.8299889421463013;0.8592402195930481;0.9517013859748841;1.0883025336265564;2.035641257762909
