Nb rollout;MCDS 1;MCDSn 1;MCDSn
1;92.20070872306823;90.2433171749115;92.07835304737091
2;89.91452751159667;91.08385753631592;89.69872615337371
10;88.30698478221893;91.82859416007996;89.88881378173828
20;91.1054086446762;90.7997475862503;92.75910017490386
100;88.79281651973724;93.60727155208588;88.25963802337647
