C constant;MCTS propositional;MCDS propositional
1e-06;TO;0.2652354969978333
1e-05;TO;0.26923538064956665
0.0001;TO;0.2464018235206604
0.001;TO;0.2424311399459839
0.01;TO;0.24888415145874024
0.1;0.8523955245018006;0.2454598560333252
0.2;0.9784510197639466;0.2463683581352234
0.3;1.1830682277679443;0.27094975805282595
0.4;1.270942370891571;0.31340364408493043
0.5;1.693905641555786;0.36726268434524534
0.6;1.4549877924919128;0.41492371606826783
0.7;1.4506198105812074;0.428462956905365
0.8;1.4442422585487367;0.4356142163276672
0.9;1.4502727279663086;0.5027474408149719
1;1.5474962682723998;0.49435944271087645
1.1;1.6661994214057922;0.510806254863739
1.2;1.68988720703125;0.5135001873970032
1.4;1.5752743515968324;0.5107253031730652
1.5;1.5949499516487122;0.5178263349533081
1.6;1.5762816681861878;0.5381041588783264
1.7;1.629097852706909;0.5365949640274048
1.8;1.780254698753357;0.5391315565109253
1.9;1.806930691719055;0.5454188318252563
2;1.8713262128829955;0.5459184775352478
4;2.13183704662323;0.5835312404632569
8;2.2750412921905516;0.6351781425476074
1024;3.2366963992118833;0.7047699837684631
