C constant;MCTS propositional;MCDS propositional
0.0001;TO;0.2852637767791748
0.001;TO;0.29564905166625977
0.01;TO;0.3333263397216797
0.1;1.2023346424102783;0.36672425270080566
0.2;1.1677281856536865;0.38471078872680664
0.3;1.7661230564117432;0.453052282333374
0.4;1.6428422927856445;0.5348367691040039
0.5;1.330779790878296;0.36502504348754883
0.6;1.6150996685028076;0.42223501205444336
0.7;1.7242748737335205;0.7043337821960449
0.8;1.7918999195098877;0.6590862274169922
0.9;1.7400283813476562;0.5006465911865234
1;1.763350486755371;0.7380757331848145
1.1;2.040783405303955;0.7869069576263428
1.2;1.9801530838012695;0.7128992080688477
1.4;1.8200066089630127;0.7404689788818359
1.5;1.856426477432251;0.7117249965667725
1.6;1.6451456546783447;0.7313475608825684
1.7;1.6782352924346924;0.6603167057037354
1.8;2.0579822063446045;0.7640566825866699
1.9;2.198867082595825;0.6638312339782715
2;1.7257325649261475;0.7656972408294678
4;2.333982229232788;0.8365027904510498
8;2.478867292404175;0.9043848514556885
1024;3.2096309661865234;0.9437191486358643
