Problem;MCDS;MCDS 1;MCDS 2;MCDS 3;MCDS 4
Hanoi(3,1);0.013095808029174805;0.00940701961517334;0.00941929817199707;0.009453964233398438;0.009609413146972657
Hanoi(3,2);0.013048315048217773;0.01116335391998291;0.012318229675292969;0.011013436317443847;0.01923236846923828
Hanoi(3,3);2.4283520936965943;0.562075924873352;0.6009484529495239;0.6282009840011596;1.9372276544570923
Hanoi(3,4);TO;TO;TO;TO;TO
Counter(180);85.68566291332245;93.29958786964417;93.20461287498475;92.6211876630783;TO
Counter(500);TO;TO;TO;TO;TO
