Problem;MCTS;MCTS 1;MCDS;MCDS 1;MCDS 2;MCDS 3;MCDS 4;Simple
Hanoi31;0.012506961822509766;0.012244224548339844;0.013990640640258789;0.011805057525634766;0.013792037963867188;0.012242555618286133;0.012402534484863281;0.008859872817993164
Hanoi32;0.021396398544311523;0.015078306198120117;0.04834175109863281;0.011832475662231445;0.009234428405761719;0.009011507034301758;0.013498783111572266;0.009130239486694336
Hanoi33;151.02054572105408;1.270676851272583;TO;0.19112658500671387;0.20825624465942383;0.28500819206237793;1.1797423362731934;0.009614229202270508
Hanoi34;TO;TO;TO;TO;TO;TO;TO;0.024318933486938477
Hanoi35;TO;TO;TO;TO;TO;TO;TO;0.025144338607788086
Hanoi36;TO;TO;TO;TO;TO;TO;TO;0.030617952346801758
Counter;0.02227187156677246;0.03372550010681152;0.02261519432067871;0.01929640769958496;0.0150909423828125;0.018279552459716797;0.026720285415649414;0.00482487678527832
BigCounter;TO;TO;TO;TO;TO;TO;TO;0.18546676635742188
