Problem;Simple;Naive
Hanoi(3,1);0.010438241958618165;0.010080227851867676
Hanoi(3,2);0.011194162368774414;0.010850801467895507
Hanoi(3,3);0.011811339855194091;0.03137561798095703
Hanoi(3,4);0.01488799810409546;TO
Hanoi(3,5);0.019570472240447997;SO
Counter(1000);0.20252841711044312;SO
